name,id,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Côte d'Ivoire,384,32,50,60,77,116,132,102,116,135,146,161,204,236,401,424,425,421,427,420,423,431
Croatia,191,625,984,1485,2441,3502,4299,4426,4150,3258,2000,835,349,160,93,85,86,69,61,57,70,88
Cuba,192,722,696,686,648,641,655,812,1025,1020,1005,958,964,969,2014,2041,1988,1821,1739,1708,1674,1618
Cyprus,196,6,9,9,7,10,12,7,5,5,2,0,1,1,1,1,1,1,1,1,1,0
Czech Rep.,203,1535,394,152,49,775,895,625,679,717,696,388,151,113,796,776,489,275,237,222,238,254
Dem. People's Rep. of Korea,408,2,1,1,,2,2,0,0,0,3,4,4,4,4,4,4,23,64,119,127,126
Dem. Rep. of the Congo,180,1560,1564,1777,1892,2306,2699,3142,4033,4387,4706,5069,5124,5212,5997,5687,5284,4725,4381,4211,3874,3544
Denmark,208,11,18,34,33,28,25,21,3,2,2,2,0,0,3,3,3,6,6,6,6,6
Djibouti,262,55,57,56,75,134,271,238,301,312,318,261,195,163,431,429,364,275,246,233,289,310
Dominica,212,0,0,0,0,0,2,1,5,6,17,24,30,33,43,44,44,43,39,41,30,23
Dominican Rep.,214,25,25,24,40,32,35,38,40,31,26,28,32,63,116,126,132,129,134,148,167,169
Ecuador,218,111,130,139,127,135,111,121,130,125,113,106,106,145,261,256,264,226,229,216,216,208
Egypt,818,146,181,276,544,776,1084,1043,1254,1287,1291,1109,1208,1004,640,640,607,573,555,597,638,684
El Salvador,222,11082,7261,3584,1720,800,616,621,636,514,442,468,399,459,758,849,889,912,1023,1122,1223,1301
Equatorial Guinea,226,2,2,4,3,2,2,4,4,4,5,6,5,7,15,15,15,11,12,12,12,11
Eritrea,232,6,17,36,72,109,153,165,316,411,557,852,1197,1619,717,792,918,1136,1350,1547,1676,1750
Estonia,233,176,193,204,192,132,59,25,27,11,11,11,12,10,22,23,21,17,15,12,14,15
Ethiopia,231,7786,5673,3750,2543,1724,1405,1635,2034,2244,2873,3549,3986,4753,1652,1732,1742,1761,1928,2059,2163,2155
Fiji,242,38,28,17,20,23,19,13,33,173,313,433,455,458,515,523,528,542,527,395,273,157
Finland,246,0,1,1,2,2,2,1,1,0,0,0,0,0,0,0,0,0,1,2,2,0
France,250,20,14,34,39,40,37,49,32,23,29,23,16,18,43,46,40,36,35,40,36,36
Gabon,266,5,5,2,0,2,3,4,7,6,8,15,27,28,41,49,50,54,52,55,55,56
Gambia,270,2,2,4,4,12,19,16,18,18,18,9,16,31,40,45,41,49,51,59,72,78
Georgia,268,36,45,69,76,102,141,123,179,198,219,245,290,297,471,486,501,495,506,504,485,474
Germany,276,441,376,390,401,614,1240,1125,988,895,663,17,18,28,41,73,81,80,84,89,90,87
Ghana,288,973,751,535,323,281,208,303,333,247,207,204,241,259,495,444,418,379,370,356,361,352
Greece,300,93,129,153,170,153,153,119,93,62,42,4,3,4,10,11,15,12,13,14,18,24
Grenada,308,3,6,10,11,19,35,23,53,73,76,98,151,199,293,305,325,325,303,292,304,294
