Date,Total-Males,Total-Females,Management-Males,Management-Females,Business-Males,Business-Females,Natural-Males,Natural-Females,Health-Males,Health-Females,Government-Males,Government-Females,Art-Males,Art-Females,Sales-Males,Sales-Females,Trades-Males,Trades-Females,Resources-Males,Resources-Females,Manufacturing-Males,Manufacturing-Females
04-2007,6935.9,6960.4,611.3,395.1,653.2,1746.6,761.4,219.7,116.3,750.4,511.7,1044.9,108.2,157.8,1508.4,2178.6,1802.6,129.7,201,42.9,662,294.6
05-2007,7182.6,7039.6,604.6,410.2,656.6,1721,784.7,250.5,116.7,748.2,502.4,1068.4,112.3,159.5,1547.8,2196.2,1910.4,137.4,263.8,55.6,683.3,292.6
06-2007,7315.8,7134.1,599.5,392.9,668.4,1767.1,808,254.3,113.8,738.5,504.2,1076.7,125.7,177.2,1565.3,2239.4,1954,125.3,289.8,62.6,687.1,300
07-2007,7427.5,7058.9,607.5,401.6,664.4,1769.4,842,255.7,108.1,761.9,463.5,895.5,159.2,205.9,1586.9,2298.9,1997.7,110.5,290.2,61.9,708,297.5
08-2007,7403.3,7047.3,614.9,423.3,682.9,1803.3,829.6,251,115.1,759.7,464.6,907.1,151.8,194.5,1560.8,2250.1,1992.2,112.9,295.4,58.5,695.9,286.9
09-2007,7254.3,7017.7,617.9,430.8,680.8,1798.3,821.2,234.7,109.9,735,498.5,1021.6,128,171.2,1541.5,2166.4,1939.8,128.9,256,51,660.9,279.9
10-2007,7258.8,7083.5,616.6,434.5,682.8,1829.3,807.2,244.8,122.4,739.2,527,1031.3,135.2,194.9,1551,2155,1928.5,139.7,237.4,50.6,650.7,264.3
11-2007,7224.1,7092,623.2,431.2,695.4,1837.3,810.4,225.9,118.6,747.3,535.4,1060.4,134.2,181.1,1555,2166.5,1913,133.5,209.9,39.4,628.9,269.5
12-2007,7122.5,7090.5,616.9,421.3,688.3,1811.7,818,232.5,126.9,745.6,509.9,1081.6,134.1,154.2,1565.5,2193.8,1861.1,142.5,198.7,36.2,603.1,271.1
01-2008,6992.1,7011.3,603.2,425.6,684.7,1818.6,817.1,224.8,119.5,737.9,511.4,1068.9,126.6,165.3,1547.8,2130.4,1814.4,131.3,181.7,33.5,585.7,275.2
02-2008,7023.3,7072.8,613.3,409.3,699.3,1842.6,811.1,225.1,116.7,748.3,513.8,1086.2,141,175.6,1530.5,2142,1841.5,125.3,167.1,32,589.1,286.3
03-2008,7044.5,7070.7,621.7,415.2,680.7,1816.5,781.8,233.9,117.4,753.3,504.3,1091.9,143,165.7,1554.8,2162.1,1870.4,116.3,176.1,35.9,594.4,279.8
04-2008,7081.5,7083,634.4,417.1,695.2,1815.2,799.9,241.7,115.1,774.4,501.8,1084.8,120.4,157.6,1523,2163.8,1889.5,115.9,189.1,33.9,613.3,278.8
05-2008,7322.2,7204.8,663.2,426,701.1,1822.5,820.2,249,114.7,782.7,507.6,1073.5,113,167.4,1554.4,2207.2,1959.9,130.4,258.5,52.2,629.6,293.9
06-2008,7463.8,7265.7,678.6,435.7,700.3,1871.6,828.8,253.5,109,798.3,512,1043.3,125.3,165.9,1544.2,2215.4,2044.4,137.4,275.9,63.8,645.1,280.7
07-2008,7479.7,7174.9,672.9,442.5,700,1859.8,807.7,256.3,125.7,788.2,481.6,898.3,143.2,203.7,1559.4,2263.1,2074.5,133.9,290.7,67.8,624,261.3
08-2008,7483.8,7121.5,673,444.3,699.3,1856.8,804.9,256.4,125.4,778.1,473.3,928.8,146.6,188.9,1542.4,2222.5,2111.4,125.7,281.3,61.2,626.3,259.1
09-2008,7308.9,7115.3,667.1,453.4,702.4,1839,782.8,247.9,126.6,782.1,515.1,1043.3,124.3,160,1487.1,2168.4,2049.2,126.4,244.6,43.6,609.6,251.1
10-2008,7308.4,7154,655.3,441.5,699,1844.7,779.9,248.2,126.6,768.2,515.4,1073,130.9,164.3,1505.3,2204.3,2047.7,125.4,232.1,43.3,616.1,241.2
