Year,Colombia,China,Sri Lanka,Pakistan,Haiti,Mexico,United States of America,Nigeria,India,Dem. Rep. of the Congo,Turkey,Iran (Islamic Rep. of),Serbia and Kosovo (S/RES/1244 (1999)),Zimbabwe,Afghanistan,Ethiopia,Burundi,Eritrea,Saint Vincent and the Grenadines,Rwanda,Iraq,Cuba,Stateless,Albania,Peru,Bangladesh,Ukraine,Russian Federation,El Salvador,Nepal,Lebanon,Cameroon,Kenya,Guatemala,Saint Lucia,Venezuela (Bolivarian Republic of),Hungary,Honduras,Uganda,Jamaica,Syrian Arab Rep.,Guinea,Egypt,Sudan,Bulgaria,Palestinian,Israel,Guyana,Georgia,Chad,Romania,Azerbaijan,Angola,C™te d'Ivoire,Sao Tome and Principe,Jordan,Ghana,Algeria,Indonesia,United Rep. of Tanzania,Djibouti,Philippines,Grenada,Uzbekistan,Mauritania,Myanmar,Trinidad and Tobago,Poland,Czech Rep.,Libya,Rep. of Korea,Yemen,Congo,Costa Rica,Belarus,Togo,Botswana,Senegal,Ecuador,Namibia,Tunisia,Rep. of Moldova,Argentina,Armenia,Brazil,Dominican Rep.,Morocco,Cambodia,Sierra Leone,Fiji,Liberia,Malaysia,Nicaragua,Burkina Faso,Kazakhstan,Mongolia,Bolivia (Plurinational State of),Dem. People's Rep. of Korea,Viet Nam,Chile,Saudi Arabia,Uruguay,Swaziland,The former Yugoslav Republic of Macedonia,Kyrgyzstan,Lithuania,Croatia,Germany,Niger,Bosnia and Herzegovina,Barbados,Gambia,Mali,Latvia,Central African Rep.,United Kingdom,Zambia,Tajikistan,Various/Unknown,Tibetan,Gabon,South Africa,Benin,Antigua and Barbuda,Paraguay,Panama,Solomon Islands,Slovakia,Kuwait,Netherlands,France,Thailand,United Arab Emirates,Malawi,Singapore,Bahamas,Greece,Dominica,Japan,Bhutan,Spain,Turkmenistan,"China, Hong Kong SAR",Montenegro,Guinea-Bissau,Belgium,Italy,Madagascar,Estonia,Saint Kitts and Nevis,Oman,Switzerland,Equatorial Guinea,Bahrain,Portugal,Seychelles,Belize,Slovenia,Qatar,Suriname,Ireland,Australia,Denmark,Lesotho,Mozambique,Aruba,Andorra,Austria,Bermuda,Brunei Darussalam,Comoros,Cabo Verde,Cayman Islands,Cyprus,Finland,Iceland,Kiribati,Lao People's Dem. Rep.,Luxembourg,"China, Macao SAR",Maldives,Malta,Mauritius,Norway,New Zealand,Papua New Guinea,Puerto Rico,Somalia,South Sudan,Sweden,Turks and Caicos Islands,Tonga,Holy See (the),Vanuatu,Samoa
1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,101,2067,21501,2721,1217,239,354,459,1124,1560,536,10281,1552,25,4399,7786,476,6,7,436,6690,722,0,228,1273,1363,462,2611,11082,3,5298,58,492,3636,0,363,1161,692,350,4,415,46,146,2021,1645,0,732,69,36,34,3085,40,113,32,1,147,973,557,58,33,55,248,3,26,16,168,12,27732,1535,132,7,79,16,217,30,57,17,14,111,1,76,445,364,30,27,25,63,1520,50,38,192,78,967,6,24,1,82,2,14007,922,175,297,11,7,13,37,625,441,2,6234,3,2,154,78,5,106,15,1,3255,0,5,123,15,0,39,143,0,6,672,75,20,89,0,29,8,0,93,0,7,4,42,0,257,,5,2,139,1,176,0,3,8,2,15,25,528,8,15,49,13,3,2,11,0,16,0,1,60,0,0,3,0,0,6,0,0,0,1620,0,0,0,7,1,2,0,0,12,17817,0,11,0,0,0,0,1
1995,112,1597,17975,2573,1145,250,233,492,1528,1564,558,8131,1953,20,4575,5673,637,17,7,519,7308,696,0,239,1266,1639,594,1613,7261,5,3177,89,453,3052,2,466,651,497,268,6,365,60,181,1992,1053,0,794,59,45,46,1813,56,110,50,1,148,751,905,62,33,57,268,6,50,22,208,12,15690,394,120,13,90,19,204,36,65,22,16,130,1,60,499,247,43,24,25,46,822,52,28,205,72,541,9,115,1,72,1,8853,501,251,236,15,17,14,43,984,376,4,12171,2,2,103,81,5,65,17,1,2567,0,5,71,15,0,35,102,0,7,616,81,14,163,0,27,8,0,129,0,3,6,29,0,202,0,5,3,114,1,193,0,9,27,2,11,23,305,8,23,30,14,2,1,18,0,21,0,1,49,0,0,4,0,0,9,1,0,0,1055,0,0,0,13,1,1,0,0,12,14673,0,25,0,0,0,0,0
1996,132,1132,14868,2315,1057,312,130,561,1868,1777,578,6677,2315,16,5056,3750,778,36,13,602,8157,686,0,202,1266,1892,698,1206,3584,9,1274,93,440,2397,2,546,331,370,206,10,340,59,276,2015,499,0,828,47,69,52,1113,64,96,60,0,275,535,1212,62,28,56,259,10,63,24,286,12,5710,152,120,17,130,18,131,39,74,22,37,139,1,47,570,130,68,20,24,38,495,64,17,202,77,361,10,300,1,60,1,5765,309,229,177,16,21,14,40,1485,390,5,17069,1,4,46,97,6,41,32,3,14185,0,2,42,9,0,30,83,0,7,631,92,34,220,0,25,8,0,153,0,2,6,51,0,102,0,4,5,103,1,204,0,8,32,4,3,12,103,3,37,17,12,2,1,34,2,11,0,1,48,0,0,4,0,0,9,1,4,0,91,0,0,0,18,1,,0,0,12,11422,0,37,0,0,0,0,0
1997,151,1023,11793,1989,811,391,57,692,2048,1892,536,6461,2709,16,6046,2543,900,72,13,679,7986,648,0,215,1084,1941,748,1254,1720,16,932,104,479,1753,2,588,153,279,110,12,324,92,544,1952,420,0,806,29,76,70,817,103,113,77,0,276,323,1641,59,21,75,159,11,77,24,418,14,987,49,115,19,160,40,81,39,99,16,50,127,0,61,609,89,1,20,40,35,283,77,20,191,68,311,8,462,1,36,,3565,249,218,72,17,22,24,26,2441,401,8,20661,2,4,33,110,10,39,46,8,12771,0,0,26,7,0,9,44,0,7,570,72,39,208,0,17,10,0,170,0,1,5,50,0,47,0,4,9,101,5,192,0,8,54,3,4,6,7,0,70,18,9,1,1,33,2,10,0,85,42,0,0,4,0,0,7,2,4,0,34,0,0,0,14,0,2,0,0,0,8944,0,39,0,0,0,0,0
1998,235,1106,10218,2266,504,657,30,861,2296,2306,545,6467,2899,14,6754,1724,941,109,24,1001,6584,641,0,382,846,1864,643,1655,800,19,723,156,504,1140,4,531,215,243,80,12,333,181,776,2091,455,0,671,28,102,215,642,99,137,116,0,295,281,2392,34,23,134,105,19,81,28,419,18,332,775,123,19,183,123,45,36,97,16,62,135,1,68,429,87,1,18,32,37,126,100,23,178,60,295,11,511,1,36,2,1583,245,210,52,29,37,39,23,3502,614,10,22580,2,12,34,102,17,38,52,104,9602,4,2,17,7,0,6,29,0,12,437,52,40,194,0,9,10,0,153,0,2,4,52,3,39,0,2,9,64,5,132,0,8,76,2,9,4,4,0,84,21,7,0,0,28,2,9,0,56,41,1,0,7,0,0,10,2,4,0,33,0,0,2,15,0,2,0,0,0,7098,0,39,0,0,0,0,0
1999,450,1381,9717,2956,165,903,19,868,2096,2699,667,6361,2903,14,7922,1405,768,153,36,1194,5975,655,0,599,735,1567,579,1657,616,39,596,165,510,829,5,496,268,212,96,18,364,245,1084,2215,491,0,322,37,141,379,558,118,161,132,0,320,208,2607,93,35,271,47,35,106,26,390,17,293,895,138,33,165,197,68,34,98,10,69,111,3,85,223,60,94,19,35,43,82,108,19,149,46,236,16,570,8,30,2,395,249,180,21,27,47,53,22,4299,1240,11,20770,1,19,40,75,17,29,52,123,16391,4,3,31,9,1,4,16,0,10,363,24,37,202,0,16,12,0,153,2,1,9,49,7,17,0,1,10,37,5,59,0,8,90,2,9,5,1,0,76,6,3,0,0,25,2,6,0,1,32,1,0,7,1,0,12,2,4,0,15,0,0,2,18,0,2,0,0,0,5178,0,30,0,0,0,0,0
2000,1077,1903,10591,3893,439,811,148,852,3196,3142,765,6319,6632,7,9115,1635,890,165,48,1118,5798,812,627,625,778,2007,547,1694,621,28,548,139,445,710,7,407,202,241,89,22,390,227,1043,2968,588,26,264,22,123,295,572,102,140,102,2,296,303,2600,89,24,238,23,23,108,15,391,14,155,625,106,26,168,1,50,36,118,3,58,121,0,68,234,87,94,32,38,55,64,335,13,159,35,192,19,548,4,28,0,155,224,26,33,16,45,52,10,4426,1125,9,15494,5,16,33,36,13,32,50,113,15452,4,4,26,6,0,5,21,0,8,125,14,49,107,7,16,6,0,119,1,3,6,44,1,10,0,0,10,31,5,25,0,3,69,4,6,7,0,0,69,0,0,3,0,21,2,3,0,0,19,1,0,1,1,0,7,1,4,0,7,0,0,2,12,0,2,0,0,0,5159,0,17,0,0,0,0,0
2001,2339,2667,13161,5753,511,1108,191,1043,3803,4033,1172,7502,7990,17,11371,2034,1159,316,67,1322,6001,1025,1624,998,993,2185,726,2196,636,38,653,205,398,677,9,457,406,270,103,37,427,351,1254,3692,708,41,281,36,179,377,730,153,296,116,2,156,333,2877,115,58,301,33,53,129,15,350,16,217,679,168,51,207,48,81,70,169,2,45,130,0,103,252,144,102,38,40,62,72,677,33,187,61,210,24,598,12,40,0,116,253,15,37,15,59,75,17,4150,988,11,11156,6,18,44,42,11,27,42,124,758,4,7,34,12,4,6,25,0,13,126,4,32,22,7,16,9,0,93,5,3,9,14,7,4,0,1,6,24,7,27,0,3,60,4,6,7,0,0,56,0,0,3,0,3,0,3,0,0,14,1,0,3,1,0,5,1,0,0,2,0,0,2,7,0,2,0,0,0,5754,0,5,0,0,0,0,0
2002,4051,3771,12873,6960,392,1162,176,1056,3807,4387,1651,7228,7494,104,12957,2244,1274,411,81,1390,5737,1020,1568,1186,951,1612,712,1990,514,52,560,230,347,492,7,307,558,219,114,48,432,483,1287,4179,742,55,137,39,198,423,695,222,433,135,0,112,247,2477,142,126,312,35,73,123,20,271,17,273,717,184,59,204,86,90,90,173,2,42,125,0,92,141,190,76,40,31,60,61,1037,173,188,75,160,24,398,14,31,0,97,212,22,32,15,82,108,20,3258,895,15,7666,6,18,56,38,15,27,17,122,1207,4,6,32,13,5,2,15,4,16,105,3,23,19,2,15,8,1,62,6,2,7,8,7,2,0,2,2,20,8,11,0,3,38,4,6,4,0,0,23,0,1,2,0,2,0,3,0,0,8,1,0,4,1,0,5,0,0,0,1,0,0,2,7,1,0,0,0,0,5545,0,7,0,0,0,0,0
2003,6689,5722,12563,7994,413,1195,167,986,3514,4706,2000,6794,7020,654,14616,2873,1524,557,105,1462,5441,1005,1654,1226,962,1235,817,1994,442,83,521,247,332,385,11,235,657,177,153,55,424,561,1291,5141,711,97,104,49,219,440,715,258,517,146,0,86,207,2030,148,236,318,60,76,133,30,440,22,281,696,198,71,169,154,86,127,194,2,46,113,0,97,133,196,79,36,26,60,57,1374,313,268,100,145,30,249,24,46,3,85,169,25,35,2,85,103,25,2000,663,18,4112,8,18,65,40,17,22,10,29,1005,0,8,32,24,5,3,8,4,17,92,2,29,20,2,16,8,1,42,17,1,8,6,7,0,0,6,3,14,4,11,0,1,17,5,5,4,0,0,7,0,2,0,0,2,0,3,0,0,4,0,0,4,1,0,2,0,0,0,0,0,0,0,6,1,0,0,0,0,5080,0,6,0,0,0,0,0
2004,9441,8071,12062,9662,460,1307,232,1046,3589,5069,2632,6508,6472,1979,15242,3549,1862,852,181,1310,5402,958,1764,1273,1049,1174,961,2118,468,116,510,277,343,363,32,219,779,166,225,77,459,691,1109,6312,693,173,177,129,245,398,711,376,700,161,0,82,204,1430,264,342,261,96,98,165,69,538,21,330,388,189,114,144,272,120,158,242,2,50,106,0,103,105,226,77,30,28,64,78,1668,433,639,139,107,51,222,34,61,4,79,131,39,52,6,81,202,45,835,17,15,1435,4,9,73,42,12,21,9,15,1125,0,15,20,26,7,8,14,4,19,82,3,23,17,6,5,4,1,4,24,5,4,3,6,0,0,9,1,3,4,11,0,3,0,6,3,2,0,1,1,0,2,0,1,2,0,0,0,0,1,0,0,4,1,0,0,0,0,0,3,0,0,0,1,4,0,1,0,0,4894,0,5,0,0,0,0,0
2005,13511,9953,11076,10642,632,1807,567,1413,3512,5124,3468,5695,2129,2433,15535,3986,2064,1197,279,1223,4789,964,1891,1403,1335,1352,1100,2073,399,178,591,334,474,332,96,346,829,164,362,158,397,714,1208,6230,794,312,292,311,290,350,697,585,892,204,0,141,241,763,294,413,195,131,151,276,129,613,42,365,151,199,169,183,365,149,199,265,2,74,106,5,123,103,297,83,79,32,69,82,1557,455,1151,201,75,72,185,40,79,4,144,94,64,80,7,74,241,76,349,18,23,794,8,16,80,39,43,29,24,91,949,0,27,20,39,13,12,19,4,12,50,4,16,22,9,9,7,1,3,30,5,4,1,39,0,,14,1,5,5,12,0,4,0,5,1,3,1,1,4,2,2,3,2,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1,4,0,0,0,2,5,1,1,0,0,4491,0,6,0,0,0,0,0
2006,17378,11072,9877,10888,783,2310,976,1722,3750,5212,3474,4978,546,2674,14419,4753,2148,1619,386,1226,3990,969,1248,1327,1589,1575,1177,1916,459,319,684,379,567,339,151,456,722,188,445,197,415,747,1004,6258,835,396,440,407,297,340,654,652,836,236,0,217,259,545,402,456,163,177,199,346,229,1429,91,344,113,156,182,180,400,198,201,259,3,98,145,12,129,108,271,110,110,63,97,105,1323,458,1436,194,71,95,148,48,107,4,205,91,80,109,11,76,244,92,160,28,37,274,13,31,87,35,55,32,28,113,919,0,28,16,41,18,25,26,10,11,48,4,18,24,10,9,6,2,4,33,11,10,2,51,1,0,18,1,3,9,10,0,5,3,7,2,3,4,1,3,2,3,3,3,0,0,1,0,0,0,0,0,3,0,0,1,0,0,1,4,0,0,0,2,6,1,1,0,0,4507,0,6,0,0,0,0,0
2007,11843,14970,21279,15820,1295,4281,1537,2911,7114,5997,4753,6221,1159,3076,3470,1652,1498,717,644,1697,1968,2014,1828,2509,2522,3214,1911,2960,758,513,1218,660,760,689,216,823,1183,452,491,267,624,1173,640,1915,1552,498,645,537,471,745,1286,727,1085,401,0,300,495,2806,409,546,431,235,293,227,231,205,145,567,796,308,275,364,308,315,293,280,6,149,261,15,236,248,421,171,165,116,167,182,254,515,123,263,238,115,491,87,149,4,169,290,99,145,16,136,203,115,93,41,58,132,25,40,133,76,60,59,36,34,349,0,41,33,53,24,30,43,15,31,143,12,43,32,13,15,19,2,10,43,13,2,6,21,1,2,23,2,8,14,22,0,8,3,15,7,8,8,1,6,2,3,9,2,3,1,5,0,0,2,0,0,7,1,0,1,0,0,1,4,0,0,1,3,6,1,1,0,0,7206,0,7,0,0,0,0,0
2008,13080,15585,20442,15798,1410,4757,1746,2882,6718,5687,4691,5200,1006,3455,3147,1732,1650,792,748,1680,1865,2041,1669,2496,2421,2768,1904,2770,849,730,1190,680,820,693,278,764,1221,455,542,303,603,1169,640,1739,1414,528,622,569,486,771,1203,719,1080,424,0,308,444,2295,429,561,429,274,305,238,254,235,164,545,776,323,283,331,326,309,307,281,14,159,256,20,238,224,410,172,176,126,168,179,258,523,115,271,211,123,353,101,162,4,171,250,128,150,17,140,203,117,85,73,61,119,27,45,132,71,60,61,39,40,161,58,49,33,54,25,31,45,19,35,130,23,46,34,28,17,24,2,11,44,16,8,9,22,1,2,23,7,11,10,23,2,8,9,15,8,15,8,4,10,4,3,7,2,3,1,6,0,0,2,0,0,7,1,0,1,0,0,1,5,0,0,1,3,6,1,1,0,0,6209,0,6,0,0,0,0,0
2009,14300,16075,19143,15346,1662,5000,2019,2962,6245,5284,4611,4499,763,3740,3015,1742,1827,918,847,1550,1760,1988,1677,2340,2303,2445,1914,2612,889,809,1128,708,849,686,312,721,1158,467,616,337,577,1152,607,1615,1238,537,636,591,501,708,1088,723,1067,425,0,304,418,1580,419,569,364,294,325,243,268,257,186,519,489,305,290,286,331,314,312,282,22,172,264,22,225,185,394,173,168,132,174,174,254,528,103,265,172,126,300,108,160,4,171,211,126,150,17,137,196,113,86,81,56,110,28,41,125,67,58,57,43,45,143,58,50,38,54,27,36,44,33,35,104,27,40,37,30,21,25,2,15,44,16,10,15,23,1,2,23,12,13,10,21,2,10,9,15,6,12,10,5,9,4,6,7,2,3,5,5,0,0,1,0,0,7,1,0,1,0,0,1,5,0,0,1,3,7,1,1,0,0,5150,0,6,0,0,0,0,0
2010,16054,16451,16967,14526,2906,5281,2637,3171,5954,4725,4465,3819,4149,3986,2727,1761,1968,1136,941,1494,1730,1821,1738,2166,2209,2213,1871,2311,912,863,1133,746,882,678,328,680,1081,492,682,348,545,1094,573,1431,1119,584,622,602,495,617,952,714,1030,421,573,322,379,877,374,568,275,300,325,247,284,265,192,477,275,292,296,274,348,320,327,274,38,172,226,26,223,161,363,179,168,129,167,161,233,542,99,265,132,140,229,113,165,23,163,162,122,147,19,123,185,114,69,80,57,104,29,49,119,51,60,57,52,44,118,58,54,37,61,28,40,45,38,28,73,29,36,37,30,21,26,3,12,43,15,18,13,23,6,2,23,16,13,10,17,4,10,10,11,5,12,10,5,9,4,10,7,3,6,5,6,0,0,0,0,0,6,0,0,1,0,0,1,5,0,0,1,2,7,1,2,0,0,1,0,7,0,0,0,0,0
